timestamp,rtt_ms,bandwidth_kbps,bandwidth_mbps,inference_ms,error_rate_pct,network_ok,bandwidth_ok
2026-05-20T09:51:07.373637,1.91,3153.02,3.0791,0.0,0.0,1,1
2026-05-20T09:51:10.522791,1.88,1032.22,1.008,0.0,0.0,1,1
2026-05-20T09:51:13.650958,4.49,1294.74,1.2644,0.0,0.0,1,1
2026-05-20T09:51:16.736889,4.51,3145.92,3.0722,0.0,0.0,1,1
2026-05-20T09:51:19.874983,1.84,3073.31,3.0013,0.0,0.0,1,1
2026-05-20T09:51:22.984807,2.8,1993.25,1.9465,0.0,0.0,1,1
2026-05-20T09:51:26.101093,3.26,1038.64,1.0143,0.0,0.0,1,1
2026-05-20T09:51:29.225216,6.33,1060.34,1.0355,0.0,0.0,1,1
2026-05-20T09:51:32.373749,3.3,2814.02,2.7481,0.0,0.0,1,1
2026-05-20T09:51:35.452710,4.04,1791.86,1.7499,0.0,0.0,1,1
2026-05-20T09:51:38.563540,5.05,1164.8,1.1375,0.0,0.0,1,1
2026-05-20T09:51:41.724412,4.33,3158.66,3.0846,0.0,0.0,1,1
2026-05-20T09:51:44.795329,4.31,1055.04,1.0303,0.0,0.0,1,1
2026-05-20T09:51:47.919694,3.79,1377.89,1.3456,0.0,0.0,1,1
2026-05-20T09:51:51.060027,4.76,1401.31,1.3685,0.0,0.0,1,1
2026-05-20T09:51:54.137597,5.11,1723.13,1.6827,0.0,0.0,1,1
2026-05-20T09:51:57.202881,4.26,922.18,0.9006,0.0,0.0,1,1
2026-05-20T09:52:00.292228,4.45,1047.86,1.0233,0.0,0.0,1,1
2026-05-20T09:52:03.365385,2.92,1319.59,1.2887,0.0,0.0,1,1
2026-05-20T09:52:06.496240,1.79,2666.01,2.6035,0.0,0.0,1,1
2026-05-20T09:52:09.602847,2.88,1160.01,1.1328,0.0,0.0,1,1
2026-05-20T09:52:12.752586,2.95,3323.21,3.2453,0.0,0.0,1,1
2026-05-20T09:52:15.863658,2.88,1274.96,1.2451,0.0,0.0,1,1
2026-05-20T09:52:18.944833,4.25,2983.15,2.9132,0.0,0.0,1,1
2026-05-20T09:52:22.063347,3.92,791.55,0.773,0.0,0.0,1,1
2026-05-20T09:52:25.167531,3.73,1364.45,1.3325,0.0,0.0,1,1
2026-05-20T09:52:28.259381,4.45,1261.73,1.2322,0.0,0.0,1,1
2026-05-20T09:52:31.393261,3.62,894.81,0.8738,0.0,0.0,1,1
2026-05-20T09:52:34.544268,2.7,3259.29,3.1829,0.0,0.0,1,1
2026-05-20T09:52:37.643265,3.98,1122.18,1.0959,0.0,0.0,1,1
2026-05-20T09:52:40.814962,3.21,1471.94,1.4374,0.0,0.0,1,1
2026-05-20T09:52:43.946431,4.27,1097.2,1.0715,0.0,0.0,1,1
2026-05-20T09:52:47.043564,4.11,1611.1,1.5733,0.0,0.0,1,1
2026-05-20T09:52:50.165932,6.01,1109.05,1.0831,0.0,0.0,1,1
2026-05-20T09:52:53.320727,5.46,1293.89,1.2636,0.0,0.0,1,1
2026-05-20T09:52:56.461534,3.95,1271.96,1.2422,0.0,0.0,1,1
2026-05-20T09:52:59.526897,5.08,3129.2,3.0559,0.0,0.0,1,1
