timestamp,previous_mode,new_mode,trigger_type,rtt_ms,bandwidth_kbps,error_rate_pct,inference_ms,network_ok,bandwidth_ok,polls_confirmed,reason
2026-05-20 15:15:55,LOCAL,CLOUD,RECOVERY,8.98,8494.79,0.00,0.00,1,1,5,cloud_infer failed 3x consecutively
2026-05-20 15:16:01,LOCAL,CLOUD,HYSTERESIS,0.51,7508.26,0.00,170.00,1,1,3,
2026-05-20 15:16:29,CLOUD,LOCAL,FALLBACK,113.78,173.28,0.00,0.00,1,1,0,cloud_infer failed 3x consecutively
2026-05-20 15:16:37,LOCAL,CLOUD,RECOVERY,10.71,5252.73,0.00,0.00,1,1,5,cloud_infer failed 3x consecutively
2026-05-20 15:16:43,LOCAL,CLOUD,HYSTERESIS,0.85,5126.73,0.00,170.92,1,1,3,
2026-05-20 15:17:11,CLOUD,LOCAL,FALLBACK,103.72,175.95,0.00,0.00,1,1,0,cloud_infer failed 3x consecutively
2026-05-20 15:17:20,LOCAL,CLOUD,RECOVERY,0.67,6042.58,0.00,0.00,1,1,5,cloud_infer failed 3x consecutively
2026-05-20 15:17:26,LOCAL,CLOUD,HYSTERESIS,0.80,5368.71,0.00,185.17,1,1,3,
2026-05-20 15:17:54,CLOUD,LOCAL,FALLBACK,71.68,195.76,0.00,0.00,1,1,0,cloud_infer failed 3x consecutively
2026-05-20 15:18:02,LOCAL,CLOUD,RECOVERY,0.81,5963.11,0.00,0.00,1,1,5,cloud_infer failed 3x consecutively
2026-05-20 15:18:08,LOCAL,CLOUD,HYSTERESIS,0.76,5323.57,0.00,186.01,1,1,3,
2026-05-20 15:18:32,CLOUD,LOCAL,HYSTERESIS,190.48,39.75,0.00,198.98,1,0,3,
2026-05-20 15:18:38,LOCAL,CLOUD,HYSTERESIS,0.82,2764.41,0.00,172.27,1,1,3,
2026-05-20 15:19:07,CLOUD,LOCAL,FALLBACK,42.70,175.94,0.00,0.00,1,1,0,cloud_infer failed 3x consecutively
2026-05-20 15:19:16,LOCAL,CLOUD,RECOVERY,0.81,6192.00,0.00,0.00,1,1,5,cloud_infer failed 3x consecutively
2026-05-20 15:19:22,LOCAL,CLOUD,HYSTERESIS,0.84,5989.72,0.00,164.23,1,1,3,
2026-05-20 15:19:39,CLOUD,LOCAL,HYSTERESIS,156.59,54.11,0.00,253.91,1,0,3,
2026-05-20 15:19:45,LOCAL,CLOUD,HYSTERESIS,40.76,175.98,0.00,188.18,1,1,3,
2026-05-20 15:19:51,CLOUD,LOCAL,HYSTERESIS,168.99,40.22,0.00,331.19,1,0,3,
2026-05-20 15:19:58,LOCAL,CLOUD,HYSTERESIS,39.89,184.97,0.00,193.17,1,1,3,
2026-05-20 15:20:26,CLOUD,LOCAL,FALLBACK,123.27,172.09,0.00,0.00,1,1,0,cloud_infer failed 3x consecutively
2026-05-20 15:20:34,LOCAL,CLOUD,RECOVERY,0.79,5777.28,0.00,0.00,1,1,5,cloud_infer failed 3x consecutively
2026-05-20 15:20:40,LOCAL,CLOUD,HYSTERESIS,0.82,5863.08,0.00,204.87,1,1,3,
2026-05-20 15:21:08,CLOUD,LOCAL,FALLBACK,117.89,193.02,0.00,0.00,1,1,0,cloud_infer failed 3x consecutively
2026-05-20 15:21:17,LOCAL,CLOUD,RECOVERY,0.83,1291.75,0.00,0.00,1,1,5,cloud_infer failed 3x consecutively
2026-05-20 15:21:23,LOCAL,CLOUD,HYSTERESIS,0.83,5887.78,0.00,183.41,1,1,3,
2026-05-20 15:21:51,CLOUD,LOCAL,FALLBACK,78.13,198.25,0.00,0.00,1,1,0,cloud_infer failed 3x consecutively
2026-05-20 15:21:59,LOCAL,CLOUD,RECOVERY,0.81,5761.41,0.00,0.00,1,1,5,cloud_infer failed 3x consecutively
2026-05-20 15:22:05,LOCAL,CLOUD,HYSTERESIS,0.84,5472.02,0.00,189.04,1,1,3,
2026-05-20 15:22:33,CLOUD,LOCAL,FALLBACK,34.84,199.35,0.00,0.00,1,1,0,cloud_infer failed 3x consecutively
2026-05-20 15:22:41,LOCAL,CLOUD,RECOVERY,21.38,351.78,0.00,0.00,1,1,5,cloud_infer failed 3x consecutively
2026-05-20 15:22:47,LOCAL,CLOUD,HYSTERESIS,0.81,409.61,0.00,131.91,1,1,3,
2026-05-20 15:22:54,CLOUD,LOCAL,HYSTERESIS,184.51,48.60,0.00,302.40,1,0,3,
2026-05-20 15:23:00,LOCAL,CLOUD,HYSTERESIS,0.82,6293.03,0.00,259.76,1,1,3,
2026-05-20 15:23:27,CLOUD,LOCAL,FALLBACK,82.98,211.94,0.00,0.00,1,1,0,cloud_infer failed 3x consecutively
2026-05-20 15:23:36,LOCAL,CLOUD,RECOVERY,0.80,5649.85,0.00,0.00,1,1,5,cloud_infer failed 3x consecutively
2026-05-20 15:23:42,LOCAL,CLOUD,HYSTERESIS,0.86,5337.11,0.00,213.19,1,1,3,
2026-05-20 15:24:10,CLOUD,LOCAL,FALLBACK,77.28,188.42,0.00,0.00,1,1,0,cloud_infer failed 3x consecutively
2026-05-20 15:24:18,LOCAL,CLOUD,RECOVERY,0.83,5318.50,0.00,0.00,1,1,5,cloud_infer failed 3x consecutively
2026-05-20 15:24:24,LOCAL,CLOUD,HYSTERESIS,0.79,698.37,0.00,218.56,1,1,3,
2026-05-20 15:24:52,CLOUD,LOCAL,FALLBACK,83.20,204.31,0.00,0.00,1,1,0,cloud_infer failed 3x consecutively
2026-05-20 15:25:00,LOCAL,CLOUD,RECOVERY,0.82,5125.16,0.00,0.00,1,1,5,cloud_infer failed 3x consecutively
2026-05-20 15:25:06,LOCAL,CLOUD,HYSTERESIS,0.77,6243.85,0.00,211.25,1,1,3,
2026-05-20 15:53:23,CLOUD,LOCAL,FALLBACK,50.00,500.00,0.00,350.00,0,0,0,test: cloud timeout
2026-05-20 15:53:23,CLOUD,LOCAL,FALLBACK,-1.00,0.00,0.00,-1.00,0,0,0,first lock
2026-05-20 15:53:23,CLOUD,LOCAL,FALLBACK,-1.00,0.00,0.00,-1.00,0,0,0,test lock
2026-05-20 15:53:23,CLOUD,LOCAL,FALLBACK,-1.00,0.00,0.00,-1.00,0,0,0,test lock
2026-05-20 15:53:23,LOCAL,CLOUD,RECOVERY,50.00,500.00,0.00,350.00,1,1,5,test lock
2026-05-20 15:53:23,CLOUD,LOCAL,FALLBACK,-1.00,0.00,0.00,-1.00,0,0,0,test lock
