timestamp,poll_id,rtt_ms,bandwidth_kbps,cpu_load,ram_usage,gpu_load,gpu_temp,prev_rtt_ms,rtt_delta,rtt_trend,avg_bw_last_6s,local_latency_ms,cloud_latency_ms,queue_depth,error_rate_pct,network_ok,bandwidth_ok,offload_ok,prob,raw_decision,pending_mode,pending_count,previous_mode,current_mode,transition,push_ok,pipeline_action
2026-05-21 16:51:43,36,0.00,0.00,8.70,86.37,0.00,43.50,0.00,0.00,stable,0.00,-1.00,-1.00,0,0.00,0,0,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:51:45,37,0.00,0.00,8.88,86.38,0.00,43.00,0.00,0.00,stable,0.00,-1.00,-1.00,0,0.00,0,0,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:51:47,38,0.00,0.00,9.10,86.38,0.00,43.00,0.00,0.00,stable,0.00,-1.00,-1.00,0,0.00,0,0,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:51:49,39,0.00,0.00,8.97,86.39,0.00,43.00,0.00,0.00,stable,0.00,-1.00,-1.00,0,0.00,0,0,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:51:51,40,0.00,0.00,9.48,86.41,0.00,43.00,0.00,0.00,stable,0.00,-1.00,-1.00,0,0.00,0,0,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:51:53,41,0.00,0.00,8.94,86.40,0.00,43.00,0.00,0.00,stable,0.00,-1.00,-1.00,0,0.00,0,0,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:51:55,42,0.00,0.00,9.27,86.41,0.00,43.00,0.00,0.00,stable,0.00,-1.00,-1.00,0,0.00,0,0,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:51:57,43,0.00,0.00,8.75,86.41,0.00,43.00,0.00,0.00,stable,0.00,-1.00,-1.00,0,0.00,0,0,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:51:59,44,0.00,0.00,9.30,86.41,0.00,42.50,0.00,0.00,stable,0.00,-1.00,-1.00,0,0.00,0,0,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:52:01,45,0.00,0.00,9.65,86.40,0.00,42.50,0.00,0.00,stable,0.00,-1.00,-1.00,0,0.00,0,0,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
