timestamp,sample_id,scenario,mode,current_fps,average_fps,estimated_frames_total,rtt_ms,error_rate_pct,cpu_load,ram_usage,gpu_load,gpu_temp,frame_latency_ms,deepstream_alive
2026-05-21 11:11:08,20,memory_stress,LOCAL,25.7,25.59,1148,0.58,0.0,60.66,95.63,98.9,55.0,38.91,1
2026-05-21 11:11:10,21,memory_stress,LOCAL,25.68,25.62,1276,0.59,0.0,58.62,95.63,98.6,55.5,38.94,1
2026-05-21 11:11:12,22,memory_stress,LOCAL,25.68,25.62,1276,5.19,0.0,67.74,95.74,98.5,55.5,38.94,1
2026-05-21 11:11:14,23,memory_stress,LOCAL,25.68,25.62,1276,0.61,0.0,58.33,95.43,98.7,55.5,38.94,1
2026-05-21 11:11:16,24,memory_stress,LOCAL,25.62,25.61,1404,0.56,0.0,57.63,95.35,98.7,55.5,39.03,1
2026-05-21 11:11:18,25,memory_stress,LOCAL,25.62,25.61,1404,0.51,0.0,56.9,95.33,98.0,55.5,39.03,1
2026-05-21 11:11:20,26,memory_stress,LOCAL,25.71,25.63,1532,0.57,0.0,61.29,95.3,99.1,55.5,38.9,1
2026-05-21 11:11:22,27,memory_stress,LOCAL,25.71,25.63,1532,0.56,0.0,62.9,95.34,98.0,56.0,38.9,1
2026-05-21 11:11:24,28,memory_stress,LOCAL,25.71,25.63,1532,1.24,0.0,60.66,95.34,98.9,56.0,38.9,1
2026-05-21 11:11:26,29,memory_stress,LOCAL,25.67,25.61,1660,0.59,0.0,62.71,95.32,98.4,56.5,38.96,1
2026-05-21 11:11:28,30,memory_stress,LOCAL,25.67,25.61,1660,173.26,0.0,61.29,95.32,98.3,56.5,38.96,1
2026-05-21 11:13:19,1,thermal,LOCAL,26.25,26.05,131,0.5,0.0,31.67,82.58,98.9,52.0,38.1,1
2026-05-21 11:13:21,2,thermal,LOCAL,28.07,27.21,271,0.57,0.0,22.95,82.47,98.3,52.0,35.63,1
2026-05-21 11:13:23,3,thermal,LOCAL,28.07,27.21,271,0.58,0.0,22.81,82.47,99.0,52.5,35.63,1
2026-05-21 11:13:25,4,thermal,LOCAL,28.06,27.49,411,0.56,0.0,21.67,82.57,98.5,53.0,35.64,1
2026-05-21 11:13:27,5,thermal,LOCAL,28.06,27.49,411,0.48,0.0,22.03,82.58,98.4,53.0,35.64,1
2026-05-21 11:13:29,6,thermal,LOCAL,28.06,27.49,411,0.54,0.0,17.24,82.59,98.2,53.0,35.64,1
2026-05-21 11:13:31,7,thermal,LOCAL,27.87,27.57,550,16.95,0.0,21.67,82.6,98.8,53.0,35.88,1
2026-05-21 11:13:33,8,thermal,LOCAL,27.87,27.57,550,0.55,0.0,21.67,82.61,98.8,53.0,35.88,1
2026-05-21 11:13:35,9,thermal,LOCAL,27.99,27.66,689,40.86,0.0,18.64,82.63,98.9,53.5,35.73,1
2026-05-21 11:13:37,10,thermal,LOCAL,27.99,27.66,689,44.22,0.0,22.95,82.65,98.2,53.0,35.73,1
2026-05-21 11:13:39,11,thermal,LOCAL,27.99,27.66,689,43.06,0.0,20.34,82.66,98.7,53.0,35.73,1
2026-05-21 11:13:41,12,thermal,LOCAL,27.94,27.72,828,24.73,0.0,22.95,82.67,98.4,53.5,35.79,1
2026-05-21 11:13:43,13,thermal,LOCAL,27.94,27.72,828,0.54,0.0,21.31,82.68,98.4,54.0,35.79,1
2026-05-21 11:13:45,14,thermal,LOCAL,27.98,27.76,967,0.55,0.0,21.67,82.7,98.9,54.0,35.74,1
2026-05-21 11:13:47,15,thermal,LOCAL,27.98,27.76,967,0.53,0.0,22.95,82.74,98.8,54.0,35.74,1
2026-05-21 11:13:49,16,thermal,LOCAL,27.98,27.76,967,0.55,0.0,20.0,82.76,98.8,54.5,35.74,1
2026-05-21 11:13:51,17,thermal,LOCAL,27.94,27.79,1106,10.56,0.0,20.0,82.76,98.4,53.5,35.79,1
2026-05-21 11:13:53,18,thermal,LOCAL,27.94,27.79,1106,0.55,0.0,22.95,82.77,98.7,53.5,35.79,1
2026-05-21 11:13:55,19,thermal,LOCAL,27.99,27.81,1245,0.53,0.0,20.34,82.78,99.0,54.0,35.73,1
2026-05-21 11:13:57,20,thermal,LOCAL,27.99,27.81,1245,0.53,0.0,17.54,82.79,98.8,54.0,35.73,1
2026-05-21 11:13:59,21,thermal,LOCAL,27.99,27.81,1245,0.55,0.0,18.97,82.8,98.9,54.0,35.73,1
2026-05-21 11:14:01,22,thermal,LOCAL,27.92,27.81,1384,0.54,0.0,20.0,82.83,98.8,54.5,35.82,1
2026-05-21 11:14:03,23,thermal,LOCAL,27.92,27.81,1384,13.9,0.0,20.34,82.65,99.1,55.0,35.82,1
2026-05-21 11:14:05,24,thermal,LOCAL,27.79,27.81,1522,0.49,0.0,28.57,82.66,98.8,55.0,35.98,1
2026-05-21 11:14:07,25,thermal,LOCAL,27.79,27.81,1522,0.54,0.0,21.67,82.65,98.6,55.0,35.98,1
